MAT,MAP,PAS,EXT,CMD,Tave_wt,Tave_sm,PPT_wt,PPT_sm
NA,2.4325869101704534e-4,1.0613732115416497e-13,1.9473311851925246e-13,5.239941813783844e-11,0,0,0.0014725249289313513,4.791133371151446e-6
2.4325869101704534e-4,NA,0.001036527655879027,9.567666590037938e-4,4.418687638008123e-14,0.005479499187213355,6.871601106972491e-5,0,5.917400176524978e-7
1.0613732115416497e-13,0.001036527655879027,NA,5.229423960528834e-8,4.497977438511214e-6,9.419576230129678e-12,3.315216501320606e-8,0.0030757424783662834,0.001069852711324648
1.9473311851925246e-13,9.567666590037938e-4,5.229423960528834e-8,NA,1.3939960297193466e-12,3.3112914810118355e-6,0,0.0028768239802001716,8.129978798221416e-5
5.239941813783844e-11,4.418687638008123e-14,4.497977438511214e-6,1.3939960297193466e-12,NA,6.164272272624061e-6,8.215650382226158e-15,1.0766276758999993e-11,9.755107832631893e-10
0,0.005479499187213355,9.419576230129678e-12,3.3112914810118355e-6,6.164272272624061e-6,NA,1.096993875293606e-6,0.018059218427229906,2.2050483793556452e-4
0,6.871601106972491e-5,3.315216501320606e-8,0,8.215650382226158e-15,1.096993875293606e-6,NA,3.6266736225987195e-4,9.665913250467284e-6
0.0014725249289313513,0,0.0030757424783662834,0.0028768239802001716,1.0766276758999993e-11,0.018059218427229906,3.6266736225987195e-4,NA,1.1405394789099077e-4
4.791133371151446e-6,5.917400176524978e-7,0.001069852711324648,8.129978798221416e-5,9.755107832631893e-10,2.2050483793556452e-4,9.665913250467284e-6,1.1405394789099077e-4,NA
