Site,Latitude,Longitude,Elevation,Region,lambda.slope.all,lambda.slope.trunc,lambda.mean,offset_1215,offset_climate,offset_SSP245,offset_SSP585,Site_Name,Paper_ID,Demo_ID,Region
Coast Fork of Williamette,43.6517,-123.088,254,N2,-0.351195606280891,-0.365632515442809,0.969572882740822,0.021524185314774513,0.16545718908309937,0.05173591151833534,0.06801073253154755,Coast Fork Willamette,55,25,North
Canton Creek,43.4137,-122.7804,503,N2,-0.514193009080948,-0.598392629484924,1.1989672865588,0.026614496484398842,0.20587611198425293,0.05269767343997955,0.06915024667978287,Canton,57,24,North
Rock Creek,43.37876,-122.9521,295,N2,0.0389550169588484,-0.0330282820354025,0.193561772572051,0.026460377499461174,0.20342406630516052,0.05196671932935715,0.06790954619646072,Rock Creek,11,15,North
O'Neil Creek,41.80979,-123.1189,487,N1,0.572894071693364,0.226664966661782,1.02973471024012,0.030831078067421913,0.25998541712760925,0.04944814741611481,0.06407391279935837,O'Neil Creek,9,16,North
Deep Creek,41.66546,-123.1134,694,N1,-0.0568327197196525,-0.0169012988003322,1.16171774151815,0.029069503769278526,0.2529643177986145,0.04772938787937164,0.06404823809862137,Deep Creek,8,17,North
Little Jameson Creek,39.74298,-120.704,1592,C3,-0.0425992545285172,-0.0446644687677096,0.865658680744345,0.04421929270029068,0.2852976322174072,0.058420728892087936,0.07566716521978378,Little Jameson Creek,7,18,Center
Oregon Creek,39.39704,-121.082,448,C3,-0.121463213432306,0.0519220717364351,1.37773752674991,0.03622620180249214,0.2603645622730255,0.05501849204301834,0.07133826613426208,Oregon Creek,6,29,Center
Rainbow Pool,37.81878,-120.0073,833,C2,-0.120119402787072,-0.101855258110621,0.844125695842529,0.03359071910381317,0.2519454061985016,0.050637081265449524,0.06823721528053284,Rainbow Pool,29,35,Center
Carlon,37.81006,-119.8568,1320,C2,0.0179857378081003,0.117916257483298,1.21755918728861,0.03775995224714279,0.2785421907901764,0.05237004905939102,0.06928043067455292,Carlon,28,1,Center
Buck Meadows,37.77722,-120.0633,830,C2,2.63434424465521,-0.197108016231355,0.595856551422629,0.03231987729668617,0.24102579057216644,0.05152685195207596,0.06847599148750305,Buck Meadows,27,31,Center
Wawona,37.53822,-119.6514,1208,C2,0.00563652253795456,-0.00643520785439693,1.01594629621738,0.03467574343085289,0.26089930534362793,0.05266374349594116,0.06968934088945389,Wawona,5,32,Center
Redwood Creek,36.68952,-118.9096,1677,C1,-0.0667805741059243,-0.0667805741059243,0.676744849669575,0.04627975448966026,0.34892940521240234,0.05410129576921463,0.07145359367132187,Redwoods,4,8,Center
North Fork Middle Fork Tule,36.20081,-118.6509,1284,C1,0.0633115937366834,0.10266355040927,1.12561207739008,0.04783555865287781,0.355831116437912,0.052585773169994354,0.06993483752012253,NFMF Tule,3,10,Center
South Fork Middle Fork Tule,36.13756,-118.5741,1664,C1,0.465852819179117,-0.319493993165429,1.30578654294382,0.046598710119724274,0.34326034784317017,0.05267557501792908,0.07004005461931229,SFMF Tule,58,3,Center
West Fork Mojave River,34.28425,-117.3754,1087,S2,0.256637425895168,0.00837103345744965,0.764293524533666,0.03213803097605705,0.2620219588279724,0.04326587915420532,0.059602223336696625,West Fork Mojave River,2,7,South
Whitewater Canyon,33.99329,-116.6627,696,S2,-0.0662728117799668,-0.0356159622317723,0,0.03229675814509392,0.27055925130844116,0.042658593505620956,0.05927418917417526,Whitewater Canyon,17,12,South
Sweetwater River,32.89913,-116.5865,1386,S1,-0.0396348300623771,-0.0051727948090714,0.491233106413964,0.0226274486631155,0.19947344064712524,0.04197664186358452,0.05699997767806053,Sweetwater,1,2,South
Kitchen Creek,32.75206,-116.4522,1173,S1,-0.140264677144043,-0.17469823520978,0,0.0216586422175169,0.19851268827915192,0.0414358489215374,0.05636247992515564,Kitchen Creek,15,14,South
Hauser Creek,32.65822,-116.5323,788,S1,-0.0197106971798896,-0.0267904577996046,0,0.02216443605720997,0.19872397184371948,0.041883111000061035,0.0563952699303627,Hauser Creek,14,13,South
